,ra,dec_x,Nobs,filter,Name,coord,Type,dec_y
246,104.947,22.496739999999996,38,zg,15045,065947.30 +222948.6,EW,22.496833333333335
247,109.856,22.966460000000005,40,zg,15051,071925.48 +225759.5,RRAB,22.966527777777777
248,97.208,15.375959999999983,70,zg,15059,062849.93 +152233.9,EW,15.376083333333334
249,247.111,32.13531999999999,143,zg,15407,162826.60 +320807.3,RRAB,32.13536111111111
250,247.577,34.45966999999998,143,zg,15408,163018.54 +342734.4,RRAB,34.45955555555556
251,255.028,31.970599999999997,49,zg,15432,170006.80 +315814.4,EA,31.970666666666666
252,255.203,30.237610000000025,48,zg,15433,170048.61 +301415.3,RRAB,30.237583333333333
253,259.666,28.207989999999985,48,zg,15452,171839.83 +281229.0,M,28.208055555555553
254,262.87,32.497909999999976,51,zg,15455,173128.75 +322952.1,M,32.49780555555556
255,281.403,12.27506999999998,51,zg,15467,184536.65 +121630.6,EB/DM,12.275166666666667
256,267.372,12.231749999999977,46,zg,22302,174929.20 +121354.5,RRAB,12.231805555555555
257,267.372,3.322720000000001,38,zg,22044,174929.29 +031922.7,RRAB,3.322972222222222
258,274.223,27.662920000000014,54,zg,15478,181653.42 +273946.3,EW/KE,27.66286111111111
259,281.171,12.22907999999999,51,zg,15522,184441.09 +121345.2,M,12.229222222222223
260,281.54,12.630519999999988,47,zg,15523,184609.66 +123750.0,M,12.630555555555556
261,256.416,21.51621999999998,41,zg,15547,170539.86 +213058.0,RRAB,21.516111111111112
262,259.352,-19.478529999999996,18,zg,23237,171724.57 -192842.6,RRAB,-19.478499999999997
263,259.688,23.630009999999984,49,zg,15570,171845.14 +233748.0,RRAB,23.63
264,260.784,22.65825999999998,37,zg,15579,172308.20 +223929.9,RRAB,22.658305555555554
265,262.929,22.64491999999998,35,zg,15596,173142.88 +223841.5,RRAB,22.644861111111112
266,246.215,44.17409999999999,46,zg,15627,162451.66 +441026.5,RR,44.17402777777777
267,258.761,22.432109999999987,43,zg,15648,171502.60 +222555.8,RRAB,22.432166666666667
